"filename", "language", "HTML", "JavaScript", "JSON with Comments", "JSON", "Vue", "Markdown", "Python", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\alice\Documents\GitHub\selfie\.github\workflows\node.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 5, 28
"c:\Users\alice\Documents\GitHub\selfie\.prettierrc.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\alice\Documents\GitHub\selfie\README.md", "Markdown", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 29, 91
"c:\Users\alice\Documents\GitHub\selfie\build&deploy.py", "Python", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 10, 16, 64
"c:\Users\alice\Documents\GitHub\selfie\const.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\alice\Documents\GitHub\selfie\eslint.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\alice\Documents\GitHub\selfie\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\alice\Documents\GitHub\selfie\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\alice\Documents\GitHub\selfie\package-lock.json", "JSON", 0, 0, 0, 11769, 0, 0, 0, 0, 0, 0, 0, 1, 11770
"c:\Users\alice\Documents\GitHub\selfie\package.json", "JSON", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\alice\Documents\GitHub\selfie\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\alice\Documents\GitHub\selfie\server\app.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 23, 14, 153
"c:\Users\alice\Documents\GitHub\selfie\server\notes\notes.js", "JavaScript", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 55, 27, 334
"c:\Users\alice\Documents\GitHub\selfie\server\notes\upload.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 57
"c:\Users\alice\Documents\GitHub\selfie\server\pomodoro\pomodoro.js", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 41, 20, 245
"c:\Users\alice\Documents\GitHub\selfie\server\todo\todo.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 108
"c:\Users\alice\Documents\GitHub\selfie\server\users\users.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 25, 19, 193
"c:\Users\alice\Documents\GitHub\selfie\src\App.vue", "Vue", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\alice\Documents\GitHub\selfie\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\alice\Documents\GitHub\selfie\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 31, 48, 241
"c:\Users\alice\Documents\GitHub\selfie\src\components\EditorComponent.vue", "Vue", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\alice\Documents\GitHub\selfie\src\components\NoteView.vue", "Vue", 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 19, 20, 338
"c:\Users\alice\Documents\GitHub\selfie\src\components\UserDropdown.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Users\alice\Documents\GitHub\selfie\src\components\UserShare.vue", "Vue", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 2, 13, 139
"c:\Users\alice\Documents\GitHub\selfie\src\components\icons\IconPomodoro.vue", "Vue", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\alice\Documents\GitHub\selfie\src\components\pomodoro\PomodoroAnimation.vue", "Vue", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 7, 11, 134
"c:\Users\alice\Documents\GitHub\selfie\src\components\pomodoro\PomodoroConfigCard.vue", "Vue", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 3, 6, 78
"c:\Users\alice\Documents\GitHub\selfie\src\components\pomodoro\PomodoroConfigForm.vue", "Vue", 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 6, 14, 181
"c:\Users\alice\Documents\GitHub\selfie\src\components\pomodoro\PomodoroConfigList.vue", "Vue", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\alice\Documents\GitHub\selfie\src\components\pomodoro\PomodoroTimer.vue", "Vue", 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 9, 193
"c:\Users\alice\Documents\GitHub\selfie\src\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 3, 19
"c:\Users\alice\Documents\GitHub\selfie\src\main.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\alice\Documents\GitHub\selfie\src\plugins\vuetify.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\alice\Documents\GitHub\selfie\src\router\index.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\alice\Documents\GitHub\selfie\src\router\note\Notes.vue", "Vue", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 6, 9, 127
"c:\Users\alice\Documents\GitHub\selfie\src\router\note\editor\NoteEditor.vue", "Vue", 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 21, 13, 336
"c:\Users\alice\Documents\GitHub\selfie\src\router\note\editor\editor.js", "JavaScript", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 185
"c:\Users\alice\Documents\GitHub\selfie\src\router\note\editor\note.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 66, 15, 208
"c:\Users\alice\Documents\GitHub\selfie\src\router\note\editor\tags.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\alice\Documents\GitHub\selfie\src\router\pomodoro\PomodoroDashboard.vue", "Vue", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 2, 11, 93
"c:\Users\alice\Documents\GitHub\selfie\src\router\pomodoro\pomodoro.js", "JavaScript", 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 48, 41, 387
"c:\Users\alice\Documents\GitHub\selfie\src\router\user\user.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 29, 9, 148
"c:\Users\alice\Documents\GitHub\selfie\src\stores\account.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\alice\Documents\GitHub\selfie\src\stores\counter.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"c:\Users\alice\Documents\GitHub\selfie\src\stores\pomodoro.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\alice\Documents\GitHub\selfie\src\views\HomeView.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\alice\Documents\GitHub\selfie\src\views\LoginView.vue", "Vue", 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 18, 269
"c:\Users\alice\Documents\GitHub\selfie\src\views\UserView.vue", "Vue", 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 1, 10, 218
"c:\Users\alice\Documents\GitHub\selfie\tailwind.config.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 94
"c:\Users\alice\Documents\GitHub\selfie\vite.config.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"Total", "-", 13, 1841, 8, 11863, 2105, 62, 38, 176, 1, 21, 431, 477, 17036
